Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,26.05,21.37,6.95,13.22,85.1
2022-03-23 17:00:56,25.37,27.52,7.93,14.31,83.46
2022-03-23 18:00:56,25.42,34.32,8.4,14.17,81.87
2022-03-23 19:00:56,26.22,41.58,8.2,12.96,81.65
2022-03-23 20:00:56,26.77,41.42,7.14,10.87,81.59
2022-03-23 21:00:56,26.07,31.72,5.82,9.0,79.32
2022-03-23 22:00:56,24.81,24.45,5.12,8.18,77.36
2022-03-23 23:00:56,22.85,19.72,4.96,8.59,78.41
2022-03-24 00:00:56,20.41,16.69,4.32,7.72,80.3
2022-03-24 01:00:56,19.7,14.31,3.44,5.77,80.79
2022-03-24 02:00:56,19.15,12.12,2.95,5.08,81.14
2022-03-24 03:00:56,17.81,10.31,2.71,4.93,81.36
2022-03-24 04:00:56,15.51,10.48,3.09,5.3,80.78
2022-03-24 05:00:56,11.64,10.95,3.48,5.6,80.77
2022-03-24 06:00:56,7.69,11.18,3.95,6.07,80.53
2022-03-24 07:00:56,6.57,13.22,6.15,8.99,78.43
2022-03-24 08:00:56,9.66,21.22,11.78,18.45,74.23
2022-03-24 09:00:56,16.05,25.98,15.53,26.11,75.13
2022-03-24 10:00:56,21.75,23.32,12.41,21.9,88.65
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0